Apex Retail — Retention KPI Navigation Map,,,,,,,,,,
"KPIs by navigation area, with refresh cadence, type (B / LE / LA / G), plain detail, an explanation, why it matters to the business case, the deck's target where stated, and the formula.",,,,,,,,,,
Navigation area,Primary user,KPI name,Refresh cadence,Type,Detail (plain),What the KPI is (explanation),Why it matters (business case),Target (from deck),Formula,Source system(s)
Command Center,All,Churn rate vs target,Daily,B,23.8% against the <14% goal,"Share of customers who leave over a year, shown against the program goal.",The headline problem — 28% is 3x the retail norm and the whole program exists to cut it.,< 14%,(customers lost in period ÷ customers at period start) × 100,Shopify + CRM
Command Center,All,Redemption rate vs target,Daily,B,19% against the >35% goal,"Share of enrolled loyalty members who actually redeem a reward, vs goal.",The scorecard on the $2.1M platform — 0% redemption meant it changed no behaviour.,> 35%,(members redeeming ≥1 reward in 90 days ÷ enrolled members) × 100,Yotpo
Command Center,All,Revenue-at-risk ticker,Real-time,B,Live $ vs the $14.2M reference,Live dollar estimate of annual revenue tied to customers currently at high risk.,Turns risk into money leadership feels; anchors urgency against the $14.2M lost.,—,Σ (annual value of each customer currently scored High-risk),Shopify + CRM
Command Center,All,Avg campaign launch time,Near-real-time,LE,"Signal → live, target <2 min",Average time from a churn signal firing to a retention campaign going live.,The timing fix — the old 4–7 day lag meant the window shut before anyone acted.,< 2 min,mean( timestamp(campaign live) − timestamp(signal detected) ),GA + Klaviyo
Command Center,All,Offer personalisation rate,Daily,LE,"71%, toward >85%",Share of offers matched to a customer's actual signals rather than a blanket coupon.,The generic 10% voucher is why offers were ignored; relevance is what makes people stay.,> 85%,(offers matched to customer's signal profile ÷ total offers sent) × 100,Scoring engine + Klaviyo
Command Center,All,Live risk-band counts + trend,Near-real-time,LE,High / Med / Low vs prior period,"Count of customers in High / Medium / Low risk bands, vs the prior period.",The at-a-glance pulse — tells the team where the book is heading right now.,—,"count(customers) grouped by band (High 71–100, Med 41–70, Low 0–40); trend = this period − prior",Scoring engine
Command Center,All,'Signals firing now' feed,Real-time,LE,Newly triggered threshold crossings,Real-time stream of customers newly crossing the composite-score threshold.,Makes detection visible and immediate — the opposite of finding out days later.,—,"count(customers whose composite score crossed threshold in last 24h), streamed as events",Scoring engine / GA
Command Center,All,Pending approvals + SLA timer,Real-time,G,"# awaiting sign-off, oldest wait",Number of briefs awaiting human sign-off and the oldest wait time.,Guards the human-in-the-loop gate from becoming the new bottleneck.,—,count(briefs where status = pending); oldest wait = max(now − brief created time),Audit log
Command Center,All,System-health strip,Real-time,G,6 connectors green / amber / red,Live status of all six source connectors (green / amber / red).,"If a source silently drops, the score is computed on partial data and quietly misleads.",—,"per connector: green if last-sync < 15 min, amber < 60 min, red ≥ 60 min or error",All 6 connectors
At-Risk Queue,Analyst / Ops,Composite churn score,Near-real-time,LE,"0–100 per customer, drives rank",A single 0–100 risk score built from all six systems' signals.,The core invention — one number no single system could produce; it drives the ranking.,Real-time,Σ (signal weight × normalised signal value 0–1) × 100  — see 'Composite Score Model',All 6 (scoring engine)
